flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,2730,2730,0,0,0.0,4095000,339574.03,0.0965,79,454.0002,336845.0271,168682.5769,168649.0136,320151.0257,333632.0268,97221.2691
InterISD-ETHZ-Anapaya,1365,1365,0,0,0.0,2047500,140112.01,0.1169,55,182.0003,138748.0136,68999.2194,68710.0069,131676.0129,137316.0135,40099.908
Transatlantic-CMU-TUBerlin,2048,1841,0,207,0.0,3072000,565958.03,0.0434,79,7508.0007,564118.0344,405453.3222,410091.0002,548760.0335,561136.0342,100525.9043
Transpacific-KAIST-MIT,1706,1706,0,0,0.0,2559000,445522.04,0.046,55,13552.0018,443817.0433,329275.7581,337994.0349,433362.0425,441879.0431,81575.3921
EU-Asia-Sorbonne-UTokyo,1706,1706,0,0,0.0,2559000,511187.04,0.04,82,252707.0199,509482.0366,380759.3179,380014.0282,494687.0357,506259.0364,70035.6725
