flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,5461,1443,0,4018,0.0,8191500,86944.01,0.7537,10,454.0002,89764.0074,45644.3089,50904.0288,82173.0077,87613.0082,24857.661
InterISD-ETHZ-Anapaya,2730,1437,0,1293,0.0,4095000,86477.01,0.3788,13,182.0003,89778.0074,42911.2623,42785.0045,82852.0083,87852.0083,25420.9461
Transatlantic-CMU-TUBerlin,4096,111,0,3985,0.0,6144000,85006.0,0.5782,10,4000,89006.0,44716.0366,45006.0,84006.0,88006.0,25376.4588
Transpacific-KAIST-MIT,3413,132,0,3281,0.0,5119500,85462.01,0.4792,11,4000,89016.0,46140.6079,46173.0054,84016.0,88016.0,24708.2252
EU-Asia-Sorbonne-UTokyo,3413,90,0,3323,0.0,5119500,84026.0,0.4874,9,5000,89026.0,44691.2222,45026.0,85026.0,89026.0,25858.3689
