flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Primary-EU-to-US,6826,1013,0,5813,0.0,10239000,94954.01,0.8626,11,364.0002,93942.01,47110.4265,47108.0051,89312.0095,93052.0099,27076.4118
Secondary-EU-to-US,6826,1097,0,5729,0.0,10239000,94962.01,0.8626,9,272.0002,93866.0107,47045.947,46984.0055,89330.0102,93026.0106,27026.5913
EU-to-ASIA,6826,618,0,6208,0.0,10239000,94957.01,0.8626,12,457.0002,94340.0061,47455.7441,47548.0032,89424.0002,93296.0061,27022.59
Intra-EU,5461,5461,0,0,0.0,8191500,82690.05,0.7925,15,41.0002,77230.0527,38632.8622,38636.0264,73363.05,76474.0521,22285.0863
