flow_name,latency_ms
Intra-EU,3599.0026
Intra-EU,3613.0027
Intra-EU,3627.0027
Intra-EU,3641.0027
Intra-EU,3655.0027
Intra-EU,3669.0027
Intra-EU,3683.0027
Intra-EU,3697.0027
Intra-EU,3711.0027
Intra-EU,3725.0027
Intra-EU,3739.0027
Intra-EU,3754.0028
Intra-EU,3767.0028
Intra-EU,3781.0028
Intra-EU,3795.0028
Intra-EU,3809.0028
Intra-EU,3823.0028
Intra-EU,3837.0028
Intra-EU,3851.0028
Intra-EU,3865.0028
Intra-EU,3879.0028
Intra-EU,3893.0028
Intra-EU,3907.0029
Intra-EU,3921.0029
Intra-EU,3935.0029
Intra-EU,3949.0029
Intra-EU,3963.0029
Intra-EU,3977.0029
Intra-EU,3991.0029
Intra-EU,4005.0029
Intra-EU,4019.0029
Intra-EU,4033.0029
Intra-EU,4047.0029
Intra-EU,4061.003
Intra-EU,4075.003
Intra-EU,4089.003
Intra-EU,4103.003
Intra-EU,4117.003
Intra-EU,4131.003
Intra-EU,4145.003
Intra-EU,4159.003
Intra-EU,4173.003
Intra-EU,4187.003
Intra-EU,4201.0031
Intra-EU,4215.0031
Intra-EU,4229.0031
Intra-EU,4243.0031
Intra-EU,4257.0031
Intra-EU,4271.0031
Intra-EU,4285.0031
Intra-EU,4299.0031
Intra-EU,4313.0031
Intra-EU,4327.0031
Intra-EU,4341.0032
Intra-EU,4355.0032
Intra-EU,4369.0032
Intra-EU,4383.0032
Intra-EU,4397.0032
Intra-EU,4411.0032
Intra-EU,4425.0032
Intra-EU,4439.0032
Intra-EU,4453.0032
Intra-EU,4467.0032
Intra-EU,4481.0032
Intra-EU,4495.0033
Intra-EU,4509.0033
Intra-EU,4523.0033
Intra-EU,4537.0033
Intra-EU,4551.0033
Intra-EU,4565.0033
Intra-EU,4579.0033
Intra-EU,4593.0033
Intra-EU,4607.0033
Intra-EU,4621.0033
Intra-EU,4635.0034
Intra-EU,4649.0034
Intra-EU,4663.0034
Intra-EU,4677.0034
Intra-EU,4692.0035
Intra-EU,4705.0034
Intra-EU,4734.0034
Intra-EU,4748.0034
Intra-EU,4763.0002
Intra-EU,4776.0034
Intra-EU,4790.0034
Intra-EU,4804.0035
Intra-EU,4818.0035
Intra-EU,4832.0035
Intra-EU,4846.0035
Intra-EU,4860.0035
Intra-EU,4875.0002
Intra-EU,4888.0035
Intra-EU,4902.0035
Intra-EU,4916.0035
Intra-EU,4930.0035
Intra-EU,4944.0036
Intra-EU,4958.0036
Intra-EU,4972.0036
Intra-EU,4986.0036
Intra-EU,5000.0036
Intra-EU,5014.0036
Intra-EU,5028.0036
Intra-EU,5042.0036
Intra-EU,5056.0036
Intra-EU,5070.0036
Intra-EU,5084.0037
Intra-EU,5098.0037
Intra-EU,5112.0037
Intra-EU,5126.0037
Intra-EU,5140.0037
Intra-EU,5169.0037
Intra-EU,5183.0037
Intra-EU,5197.0037
Intra-EU,5211.0037
Intra-EU,5225.0037
Intra-EU,5239.0037
Intra-EU,5253.0038
Intra-EU,5267.0038
Intra-EU,5281.0038
Intra-EU,5295.0038
Intra-EU,5309.0038
Intra-EU,5323.0038
Intra-EU,5337.0038
Intra-EU,5351.0038
Intra-EU,5365.0038
Intra-EU,5379.0038
Intra-EU,5393.0039
Intra-EU,5407.0039
Intra-EU,5421.0039
Intra-EU,5435.0039
Intra-EU,5449.0039
Intra-EU,5463.0039
Intra-EU,5477.0039
Intra-EU,5491.0039
Intra-EU,5505.0039
Intra-EU,5519.0039
Intra-EU,5533.0039
Intra-EU,5547.004
Intra-EU,5561.004
Intra-EU,5575.004
Intra-EU,5589.004
Intra-EU,5603.004
Intra-EU,5623.0002
Intra-EU,5631.004
Intra-EU,5645.004
Intra-EU,5659.004
Intra-EU,5673.004
Intra-EU,5687.0041
Intra-EU,5701.0041
Intra-EU,5715.0041
Intra-EU,5744.0041
Intra-EU,5758.0041
Intra-EU,5772.0041
Intra-EU,5786.0041
Intra-EU,5800.0041
Intra-EU,5814.0041
Intra-EU,5828.0041
Intra-EU,5842.0042
Intra-EU,5856.0042
Intra-EU,5871.0008
Intra-EU,5884.0042
Intra-EU,5898.0042
Intra-EU,5912.0042
Intra-EU,5926.0042
Intra-EU,5940.0042
Intra-EU,5954.0042
Intra-EU,5968.0042
Intra-EU,5982.0042
Intra-EU,5996.0043
Intra-EU,6011.0008
Intra-EU,6024.0043
Intra-EU,6038.0043
Intra-EU,6052.0043
Intra-EU,6066.0043
Intra-EU,6080.0043
Intra-EU,6094.0043
Intra-EU,6108.0043
Intra-EU,6122.0043
Intra-EU,6136.0044
Intra-EU,6150.0044
Intra-EU,6164.0044
Intra-EU,6178.0044
Intra-EU,6192.0044
Intra-EU,6206.0044
Intra-EU,6220.0044
Intra-EU,6234.0044
Intra-EU,6248.0044
Intra-EU,6262.0044
Intra-EU,6276.0044
Intra-EU,6290.0045
Intra-EU,6304.0045
Intra-EU,6318.0045
Intra-EU,6332.0045
Intra-EU,6346.0045
Intra-EU,6360.0045
Intra-EU,6374.0045
Intra-EU,6388.0045
Intra-EU,6402.0045
Intra-EU,6416.0045
Intra-EU,6430.0046
Intra-EU,6444.0046
Intra-EU,6458.0046
Intra-EU,6472.0046
Intra-EU,6486.0046
Intra-EU,6500.0046
Intra-EU,6514.0046
Intra-EU,6528.0046
Intra-EU,6542.0046
Intra-EU,6557.0047
Intra-EU,6570.0047
Intra-EU,6584.0047
Intra-EU,6598.0047
Intra-EU,6612.0047
Intra-EU,6626.0047
Intra-EU,6640.0047
Intra-EU,6654.0047
Intra-EU,6668.0047
Intra-EU,6682.0047
Intra-EU,6696.0047
Intra-EU,6710.0047
Intra-EU,6724.0048
Intra-EU,6738.0048
Intra-EU,6752.0048
Intra-EU,6766.0048
Intra-EU,6780.0048
Intra-EU,6794.0048
Intra-EU,6808.0048
Intra-EU,6822.0048
Intra-EU,6836.0048
Intra-EU,6850.0048
Intra-EU,6864.0049
Intra-EU,6878.0049
Intra-EU,6892.0049
Intra-EU,6906.0049
Intra-EU,6920.0049
Intra-EU,6934.0049
Intra-EU,6948.0049
Intra-EU,6962.0049
Intra-EU,6976.0049
Intra-EU,6990.0049
Intra-EU,7004.0049
Intra-EU,7018.005
Intra-EU,7032.005
Intra-EU,7046.005
Intra-EU,7060.005
Intra-EU,7074.005
Intra-EU,7088.005
Intra-EU,7102.005
Intra-EU,7116.005
Intra-EU,7130.005
Intra-EU,7144.005
Intra-EU,7158.0051
Intra-EU,7172.0051
Intra-EU,7186.0051
Intra-EU,7200.0051
Intra-EU,7214.0051
Intra-EU,7228.0051
Intra-EU,7242.0051
Intra-EU,7256.0051
Intra-EU,7270.0051
Intra-EU,7284.0051
Intra-EU,7298.0051
Intra-EU,7312.0052
Intra-EU,7326.0052
Intra-EU,7340.0052
