flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,5461,1592,0,3869,0.0,8191500,566824.06,0.1156,68,454.0002,565233.0552,454279.7938,467298.0474,555682.0544,563358.055,94094.583
InterISD-ETHZ-Anapaya,2730,2730,0,0,0.0,4095000,286562.03,0.1143,59,182.0003,283833.0307,139945.227,138832.0136,269364.0291,280971.0001,81996.2108
Transatlantic-CMU-TUBerlin,4096,4096,0,0,0.0,6144000,380713.04,0.1291,74,463.0003,376618.0406,188547.8885,188585.0204,357832.0386,372878.0402,108600.3831
Transpacific-KAIST-MIT,3413,823,0,2590,0.0,5119500,565797.06,0.0724,60,13552.0018,564975.0608,437600.3867,514471.0567,559916.0604,564048.0607,155248.2939
EU-Asia-Sorbonne-UTokyo,3413,2481,0,932,0.0,5119500,564991.05,0.0725,67,45631.0054,562511.0506,378131.4319,394071.0386,545715.0494,559415.0504,125922.0768
