flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,5461,430,0,5031,0.0,8191500,26914.0,2.4349,4,454.0002,29284.0023,13111.7265,12494.0013,26138.0025,29004.0,8119.5558
InterISD-ETHZ-Anapaya,2730,180,0,2550,0.0,4095000,25957.0,1.2621,4,182.0003,29298.0023,12701.9115,11018.0,28001.0,29118.0023,8764.2573
Transatlantic-CMU-TUBerlin,4096,326,0,3770,0.0,6144000,25972.0,1.8925,5,217.0005,29006.0,13131.7778,13073.0019,24668.0033,26006.0,7472.3542
Transpacific-KAIST-MIT,3413,38,0,3375,0.0,5119500,25537.0,1.6038,3,4000,29016.0,15824.211,16865.0021,28016.0,29016.0,7826.1368
EU-Asia-Sorbonne-UTokyo,3413,192,0,3221,0.0,5119500,24927.0,1.643,5,477.0002,29026.0,12997.5268,12994.001,24026.0,28026.0,7209.7862
