flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,5461,6764,0,0,0.0,8191500,146564.0,0.4471,21,49.0002,149564.0046,75549.3105,86332.0566,131184.0,143094.0,39051.6659
InterISD-ETHZ-Anapaya,2730,834,0,1896,0.0,4095000,145788.0,0.2247,16,182.0003,149288.0,71959.8895,72001.0,141318.0087,148003.0,44468.9854
Transatlantic-CMU-TUBerlin,4096,1822,0,2274,0.0,6144000,145992.02,0.3367,17,217.0005,149006.0,72451.5793,72479.0087,137515.0161,143313.0168,41764.9734
Transpacific-KAIST-MIT,3413,1112,0,2301,0.0,5119500,145902.01,0.2807,11,442.0002,149017.0093,73012.9767,73045.0002,138525.0002,144047.0094,42004.6897
EU-Asia-Sorbonne-UTokyo,3413,202,0,3211,0.0,5119500,144811.02,0.2828,22,5000,149026.0,87265.7895,101026.0,142339.0093,147026.0,43488.6233
