flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,5461,1139,0,4322,0.0,8191500,206503.02,0.3173,28,454.0002,209503.0201,100569.8829,100034.0,199004.0,207208.0199,62628.9921
InterISD-ETHZ-Anapaya,2730,3114,0,0,0.0,4095000,206497.02,0.1586,18,182.0003,209487.0201,102275.1508,102115.0102,195780.0194,204018.0,59987.8537
Transatlantic-CMU-TUBerlin,4096,2423,0,1673,0.0,6144000,205933.02,0.2387,23,463.0003,209006.0,102297.7621,102225.0112,194008.0203,202118.0219,58847.6753
Transpacific-KAIST-MIT,3413,257,0,3156,0.0,5119500,205016.0,0.1998,22,4000,209016.0,104180.7765,104016.0,198016.0,207016.0,60307.3528
EU-Asia-Sorbonne-UTokyo,3413,1506,0,1907,0.0,5119500,204982.02,0.1998,26,5000,209047.0225,111235.603,111576.0125,195348.022,202615.0225,54039.1051
