flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,5461,6159,0,0,0.0,8191500,86954.0,0.7536,8,49.0002,89908.0085,39198.3259,39503.0264,74004.0,82474.0482,22604.1952
InterISD-ETHZ-Anapaya,2730,1480,0,1250,0.0,4095000,86477.01,0.3788,13,182.0003,89892.0085,42970.3221,42700.0045,82926.0084,87682.0083,25431.5045
Transatlantic-CMU-TUBerlin,4096,111,0,3985,0.0,6144000,85006.0,0.5782,13,4000,89006.0,44716.0366,45006.0,84006.0,88006.0,25376.4588
Transpacific-KAIST-MIT,3413,398,0,3015,0.0,5119500,85937.01,0.4766,6,442.0002,89017.0051,33526.0967,27016.0002,84016.0,86016.0,25660.9613
EU-Asia-Sorbonne-UTokyo,3413,641,0,2772,0.0,5119500,84927.01,0.4822,13,477.0002,89026.0,42821.1942,42950.0029,80950.0053,84228.0055,24505.3575
