flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,5461,412,0,5049,0.0,8191500,26914.0,2.4349,3,724.0002,29464.0016,13594.0587,13094.0,27004.0,29034.0,8251.2306
InterISD-ETHZ-Anapaya,2730,190,0,2540,0.0,4095000,25978.0,1.2611,3,182.0003,29478.0016,12843.3108,11478.0005,28001.0,29118.0016,8729.6193
Transatlantic-CMU-TUBerlin,4096,326,0,3770,0.0,6144000,25972.0,1.8925,5,217.0005,29006.0,13129.1705,13073.0019,24668.0033,26006.0,7474.9824
Transpacific-KAIST-MIT,3413,200,0,3213,0.0,5119500,25902.0,1.5812,2,442.0002,29017.0017,13433.9506,13441.0002,25193.0002,28016.0,7516.658
EU-Asia-Sorbonne-UTokyo,3413,30,0,3383,0.0,5119500,24026.0,1.7047,4,5000,29026.0,15021.6667,15026.0,28026.0,29026.0,8099.8144
