flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
EU-IntraRegion-OVGU-ETHZ,5461,5435,0,26,0.0,8191500,566969.03,0.1156,79,724.0002,569969.033,371051.3,419986.0436,556190.0548,566219.033,162424.6319
InterISD-ETHZ-Anapaya,2730,7036,0,0,0.0,4095000,566453.03,0.0578,59,182.0003,569953.033,258573.0732,233229.023,547001.0,565168.0549,168901.8927
Transatlantic-CMU-TUBerlin,4096,4666,0,0,0.0,6144000,565006.0,0.087,63,203.0002,569006.0,197902.9004,194006.0,368380.0397,523006.0,120047.5438
Transpacific-KAIST-MIT,3413,2790,0,623,0.0,5119500,565842.05,0.0724,66,442.0002,569016.0,391653.9193,411434.0427,549016.0,561432.0547,127791.7689
EU-Asia-Sorbonne-UTokyo,3413,3983,0,0,0.0,5119500,564026.0,0.0726,77,507.0002,569026.0,240986.7995,233110.0172,496781.0323,530026.0,146612.9843
